Quartiere;Zona;Età grandi classi;Residenti
Borgo Panigale - Reno;Santa Viola;80 e oltre;1085
Borgo Panigale - Reno;Borgo Panigale;80 e oltre;2597
Borgo Panigale - Reno;Barca;80 e oltre;2505
Borgo Panigale - Reno;Santa Viola;65-79;1868
Borgo Panigale - Reno;Borgo Panigale;65-79;4371
Borgo Panigale - Reno;Barca;65-79;3565
Borgo Panigale - Reno;Santa Viola;45-64;4064
Borgo Panigale - Reno;Borgo Panigale;45-64;7463
Borgo Panigale - Reno;Barca;45-64;6209
Borgo Panigale - Reno;Santa Viola;30-44;2998
Borgo Panigale - Reno;Borgo Panigale;30-44;5383
Borgo Panigale - Reno;Barca;30-44;3631
Borgo Panigale - Reno;Santa Viola;15-29;1731
Borgo Panigale - Reno;Borgo Panigale;15-29;3482
Borgo Panigale - Reno;Barca;15-29;2668
Borgo Panigale - Reno;Santa Viola;0-14;1752
Borgo Panigale - Reno;Borgo Panigale;0-14;3468
Borgo Panigale - Reno;Barca;0-14;2519
Navile;Lame;80 e oltre;1176
Navile;Corticella;80 e oltre;1671
Navile;Bolognina;80 e oltre;2888
Navile;Lame;65-79;2627
Navile;Corticella;65-79;3159
Navile;Bolognina;65-79;4521
Navile;Lame;45-64;4326
Navile;Corticella;45-64;5559
Navile;Bolognina;45-64;10060
Navile;Lame;30-44;2709
Navile;Corticella;30-44;3466
Navile;Bolognina;30-44;8854
Navile;Lame;15-29;1969
Navile;Corticella;15-29;2477
Navile;Bolognina;15-29;5351
Navile;Lame;0-14;1736
Navile;Corticella;0-14;2262
Navile;Bolognina;0-14;4714
Porto - Saragozza;Saffi;80 e oltre;1768
Porto - Saragozza;Marconi;80 e oltre;1277
Porto - Saragozza;Malpighi;80 e oltre;874
Porto - Saragozza;Costa Saragozza;80 e oltre;2357
Porto - Saragozza;Saffi;65-79;2496
Porto - Saragozza;Marconi;65-79;2209
Porto - Saragozza;Malpighi;65-79;1760
Porto - Saragozza;Costa Saragozza;65-79;3837
Porto - Saragozza;Saffi;45-64;5030
Porto - Saragozza;Marconi;45-64;4108
Porto - Saragozza;Malpighi;45-64;3655
Porto - Saragozza;Costa Saragozza;45-64;7288
Porto - Saragozza;Saffi;30-44;4571
Porto - Saragozza;Marconi;30-44;3529
Porto - Saragozza;Malpighi;30-44;2918
Porto - Saragozza;Costa Saragozza;30-44;5141
Porto - Saragozza;Saffi;15-29;2364
Porto - Saragozza;Marconi;15-29;2048
Porto - Saragozza;Malpighi;15-29;1582
Porto - Saragozza;Costa Saragozza;15-29;3329
Porto - Saragozza;Saffi;0-14;2010
Porto - Saragozza;Marconi;0-14;1487
Porto - Saragozza;Malpighi;0-14;1152
Porto - Saragozza;Costa Saragozza;0-14;2805
San Donato - San Vitale;San Vitale;80 e oltre;2868
San Donato - San Vitale;San Donato;80 e oltre;3158
San Donato - San Vitale;San Vitale;65-79;4964
San Donato - San Vitale;San Donato;65-79;4880
San Donato - San Vitale;San Vitale;45-64;9922
San Donato - San Vitale;San Donato;45-64;8704
San Donato - San Vitale;San Vitale;30-44;7732
San Donato - San Vitale;San Donato;30-44;6533
San Donato - San Vitale;San Vitale;15-29;5151
San Donato - San Vitale;San Donato;15-29;4557
San Donato - San Vitale;San Vitale;0-14;4156
San Donato - San Vitale;San Donato;0-14;3695
Santo Stefano;Murri;80 e oltre;2841
Santo Stefano;Irnerio;80 e oltre;818
Santo Stefano;Galvani;80 e oltre;966
Santo Stefano;Colli;80 e oltre;661
Santo Stefano;Murri;65-79;4468
Santo Stefano;Irnerio;65-79;2039
Santo Stefano;Galvani;65-79;2055
Santo Stefano;Colli;65-79;1328
Santo Stefano;Murri;45-64;8439
Santo Stefano;Irnerio;45-64;3821
Santo Stefano;Galvani;45-64;4026
Santo Stefano;Colli;45-64;2716
Santo Stefano;Murri;30-44;5761
Santo Stefano;Irnerio;30-44;3589
Santo Stefano;Galvani;30-44;2773
Santo Stefano;Colli;30-44;1524
Santo Stefano;Murri;15-29;3916
Santo Stefano;Irnerio;15-29;2255
Santo Stefano;Galvani;15-29;1916
Santo Stefano;Colli;15-29;1413
Santo Stefano;Murri;0-14;3389
Santo Stefano;Irnerio;0-14;1229
Santo Stefano;Galvani;0-14;1373
Santo Stefano;Colli;0-14;1194
Savena;San Ruffillo;80 e oltre;2298
Savena;Mazzini;80 e oltre;4656
Savena;San Ruffillo;65-79;3605
Savena;Mazzini;65-79;6760
Savena;San Ruffillo;45-64;6288
Savena;Mazzini;45-64;10567
Savena;San Ruffillo;30-44;4015
Savena;Mazzini;30-44;7463
Savena;San Ruffillo;15-29;2811
Savena;Mazzini;15-29;4669
Savena;San Ruffillo;0-14;2554
Savena;Mazzini;0-14;4456
Senza fissa dimora;Senza fissa dimora;80 e oltre;4
Senza fissa dimora;Senza fissa dimora;65-79;67
Senza fissa dimora;Senza fissa dimora;45-64;295
Senza fissa dimora;Senza fissa dimora;30-44;113
Senza fissa dimora;Senza fissa dimora;15-29;45
Senza fissa dimora;Senza fissa dimora;0-14;9
